City,Region,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,DHB NZ,60,123, ,183,1
Bay of Plenty,DHB NZ,15,29, ,44,0
Canterbury,DHB NZ,67,70,6,143,-1
Capital and Coast,DHB NZ,43,46,2,91,3
Counties Manukau,DHB NZ,48,61, ,109,2
Hawke's Bay,DHB NZ,26,15, ,41,0
Hutt Valley,DHB NZ,7,13, ,20,0
Lakes,DHB NZ,6,9, ,15,0
MidCentral,DHB NZ,10,19, ,29,1
Nelson Marlborough,DHB NZ,18,30, ,48,0
Northland,DHB NZ,18,8, ,26,0
South Canterbury,DHB NZ,8,6, ,14,1
Southern,DHB NZ,74,139, ,213,0
Tairawhiti,DHB NZ,4,0, ,4,1
Taranaki,DHB NZ,3,11, ,14,0
Waikato,DHB NZ,106,76, ,182,3
Wairarapa,DHB NZ,0,8, ,8,0
Waitemata,NZ,105,100, ,205,4
West Coast,DHB NZ,2,2,1,5,0
Whanganui,DHB NZ,3,4, ,7,0
